2026-02-18 14:53:03 | INFO     | MainThread   | rtsp-connection      | RTSPConnectionManager iniciado: 4 URIs
2026-02-18 15:08:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:08:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:09:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:09:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:10:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:10:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:11:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:11:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:12:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:12:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:13:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:13:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:14:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:14:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:15:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:15:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:16:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:16:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:17:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:17:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:18:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:18:37 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
2026-02-18 15:19:07 | WARNING  | Thread-1 (_monitor_loop) | rtsp-connection      | Status: connected=3 disconnected=0 failed=1
